date,value
9/9/2008,6.04250365
9/10/2008,6.027953823
9/11/2008,6.020410389
9/12/2008,6.027489562
9/13/2008,6.035039751
9/14/2008,6.039046091
9/15/2008,6.0024444
9/16/2008,6.010383827
9/17/2008,6.019831395
9/18/2008,6.033862463
9/19/2008,6.062830091
9/20/2008,6.080075697
9/21/2008,6.066002761
9/22/2008,6.031036381
9/23/2008,6.009551632
9/24/2008,6.006578502
9/25/2008,6.010460439
9/26/2008,5.990517575
9/27/2008,6.040534123
9/28/2008,6.041464767
9/29/2008,5.964361044
9/30/2008,5.997599298
10/1/2008,6.009772101
10/2/2008,5.992307989
10/3/2008,6.017193151
10/4/2008,6.067718886
10/5/2008,6.059710294
10/6/2008,6.003949261
10/7/2008,5.973377952
10/8/2008,6.004500708
10/9/2008,6.023260096
10/10/2008,6.033179083
10/11/2008,6.064614516
10/12/2008,6.058558226
10/13/2008,6.030544441
10/14/2008,6.015727953
10/15/2008,6.005062971
10/16/2008,6.011817201
10/17/2008,6.057145998
10/18/2008,6.072816238
10/19/2008,6.068869953
10/20/2008,6.027659025
10/21/2008,6.025816912
10/22/2008,6.029904009
10/23/2008,6.031668196
10/24/2008,6.044106161
10/25/2008,6.070155353
10/26/2008,6.064097712
10/27/2008,6.018543531
10/28/2008,6.027062942
10/29/2008,6.031127496
10/30/2008,6.034157038
10/31/2008,6.065205166
11/1/2008,6.073698771
11/2/2008,6.067202713
11/3/2008,6.023256945
11/4/2008,6.030238246
11/5/2008,6.054977489
11/6/2008,6.052078089
11/7/2008,6.073906724
11/8/2008,6.09689344
11/9/2008,6.098573037
11/10/2008,6.058856924
11/11/2008,6.0648304
11/12/2008,6.061447426
11/13/2008,6.042100703
11/14/2008,6.074259443
11/15/2008,6.088250765
11/16/2008,6.085905468
11/17/2008,6.048550841
11/18/2008,6.051694024
11/19/2008,6.055542012
11/20/2008,6.06027713
11/21/2008,6.085072013
11/22/2008,6.108840756
11/23/2008,6.102364602
11/24/2008,6.06699181
11/25/2008,6.07600648
11/26/2008,6.084570185
11/27/2008,6.193093189
11/28/2008,6.078498943
11/29/2008,6.09293086
11/30/2008,6.085695514
12/1/2008,6.056875332
12/2/2008,6.053548724
12/3/2008,6.063112274
12/4/2008,6.064345215
12/5/2008,6.085589365
12/6/2008,6.117502133
12/7/2008,6.108409741
12/8/2008,6.059569493
12/9/2008,6.051364901
12/10/2008,6.063428042
12/11/2008,6.065050516
12/12/2008,6.085775857
12/13/2008,6.120088602
12/14/2008,6.103342237
12/15/2008,6.064103663
12/16/2008,6.063687777
12/17/2008,6.063428163
12/18/2008,6.047051021
12/19/2008,6.087823952
12/20/2008,6.128667417
12/21/2008,6.118638603
12/22/2008,6.092016281
12/23/2008,6.115018209
12/24/2008,6.254525251
12/25/2008,6.37572912
12/26/2008,6.145916755
12/27/2008,6.093036929
12/28/2008,6.080265896
12/29/2008,6.072850856
12/30/2008,6.077677166
12/31/2008,6.149700835
1/1/2009,6.192566653
1/2/2009,6.085172086
1/3/2009,6.072152774
1/4/2009,6.066279979
1/5/2009,6.050939402
1/6/2009,6.043640589
1/7/2009,6.040731182
1/8/2009,6.036870336
1/9/2009,6.062014734
1/10/2009,6.083658377
1/11/2009,6.081237219
1/12/2009,6.047317226
1/13/2009,6.051605318
1/14/2009,6.038128139
1/15/2009,6.033732817
1/16/2009,6.062707384
1/17/2009,6.091577074
1/18/2009,6.085113187
1/19/2009,6.069739839
1/20/2009,6.064332627
1/21/2009,6.036604023
1/22/2009,6.042124317
1/23/2009,6.068427095
1/24/2009,6.084992934
1/25/2009,6.09190104
1/26/2009,6.055463298
1/27/2009,6.039735274
1/28/2009,6.027404124
1/29/2009,6.040543081
1/30/2009,6.069527
1/31/2009,6.086528067
2/1/2009,6.084200801
2/2/2009,6.044334058
2/3/2009,6.039472696
2/4/2009,6.037774896
2/5/2009,6.036107518
2/6/2009,6.065422247
2/7/2009,6.086327867
2/8/2009,6.080951045
2/9/2009,6.036517305
2/10/2009,6.0327061
2/11/2009,6.040166324
2/12/2009,6.05186413
2/13/2009,6.077733898
2/14/2009,6.16672722
2/15/2009,6.097503283
2/16/2009,6.059895922
2/17/2009,6.040534864
2/18/2009,6.037143469
2/19/2009,6.044545768
2/20/2009,6.073549572
2/21/2009,6.089264818
2/22/2009,6.079644468
2/23/2009,6.050650858
2/24/2009,6.039406203
2/25/2009,6.036218507
2/26/2009,6.042228673
2/27/2009,6.072861313
2/28/2009,6.088167457
3/1/2009,6.079319779
3/2/2009,6.048136959
3/3/2009,6.038936299
3/4/2009,6.05199628
3/5/2009,6.054542128
3/6/2009,6.086715724
3/7/2009,6.098679662
3/8/2009,6.080115596
3/9/2009,6.059218501
3/10/2009,6.051687419
3/11/2009,6.052775151
3/12/2009,6.061261414
3/13/2009,6.089170652
3/14/2009,6.101130171
3/15/2009,6.094361991
3/16/2009,6.076757571
3/17/2009,6.106968727
3/18/2009,6.052655234
3/19/2009,6.047098871
3/20/2009,6.056648444
3/21/2009,6.104220293
3/22/2009,6.090152086
3/23/2009,6.058361263
3/24/2009,6.059046525
3/25/2009,6.062710169
3/26/2009,6.057780404
3/27/2009,6.085115201
3/28/2009,6.100787613
3/29/2009,6.094436041
3/30/2009,6.062701583
3/31/2009,6.028818124
4/1/2009,6.046388755
4/2/2009,6.071339866
4/3/2009,6.102310506
4/4/2009,6.107738168
4/5/2009,6.100120272
4/6/2009,6.06455539
4/7/2009,6.066903462
4/8/2009,6.07176639
4/9/2009,6.083140383
4/10/2009,6.117192516
4/11/2009,6.122096986
4/12/2009,6.187767371
4/13/2009,6.070875755
4/14/2009,6.074293944
4/15/2009,6.060865664
4/16/2009,6.080655141
4/17/2009,6.110790867
4/18/2009,6.121906498
4/19/2009,6.108171139
4/20/2009,6.083582299
4/21/2009,6.078256221
4/22/2009,6.087790636
4/23/2009,6.082993237
4/24/2009,6.112666473
4/25/2009,6.105147363
4/26/2009,6.082600624
4/27/2009,6.021720821
4/28/2009,6.018171841
4/29/2009,6.016352877
4/30/2009,6.014835936
5/1/2009,6.072147113
5/2/2009,6.088339924
5/3/2009,6.082686021
5/4/2009,6.055036476
5/5/2009,6.059559269
5/6/2009,6.072381791
5/7/2009,6.08646805
5/8/2009,6.107652152
5/9/2009,6.096689815
5/10/2009,6.096689815
5/11/2009,6.084086872
5/12/2009,6.067097159
5/13/2009,6.034866366
5/14/2009,6.007691746
5/15/2009,6.012675309
5/16/2009,6.012675309
5/17/2009,6.012675309
5/18/2009,6.012675309
5/19/2009,6.012675309
5/20/2009,6.013393586
5/21/2009,6.061386867
5/22/2009,6.094652335
5/23/2009,6.104009907
5/24/2009,6.106452848
5/25/2009,6.096902227
5/26/2009,6.055733433
5/27/2009,6.06441737
5/28/2009,6.079338443
5/29/2009,6.104464072
5/30/2009,6.112436284
5/31/2009,6.094359765
6/1/2009,6.069994566
6/2/2009,6.073901895
6/3/2009,6.077179688
6/4/2009,6.074920428
6/5/2009,6.10423659
6/6/2009,6.107722432
6/7/2009,6.096561991
6/8/2009,6.071946012
6/9/2009,6.058170971
6/10/2009,6.056306512
6/11/2009,6.05203167
6/12/2009,6.093193415
6/13/2009,6.091200233
6/14/2009,6.084791042
6/15/2009,6.065072489
6/16/2009,6.056720378
6/17/2009,6.064085443
6/18/2009,6.066255077
6/19/2009,6.091004503
6/20/2009,6.075749939
6/21/2009,6.14675205
6/22/2009,6.051820663
6/23/2009,6.051071197
6/24/2009,6.053386745
6/25/2009,5.934137957
6/26/2009,6.030850492
6/27/2009,6.084508642
6/28/2009,6.04054215
6/29/2009,6.053017601
6/30/2009,6.057848363
7/1/2009,6.075515092
7/2/2009,6.07725031
7/3/2009,6.103849891
7/4/2009,6.156270135
7/5/2009,6.09169159
7/6/2009,6.059011346
7/7/2009,6.03421855
7/8/2009,6.055907725
7/9/2009,6.07265932
7/10/2009,6.096069347
7/11/2009,6.087112581
7/12/2009,6.081712544
7/13/2009,6.072579378
7/14/2009,6.075614532
7/15/2009,6.0650047
7/16/2009,6.06866147
7/17/2009,6.077394891
7/18/2009,6.092502086
7/19/2009,6.098955113
7/20/2009,6.078124099
7/21/2009,6.069652798
7/22/2009,6.070426218
7/23/2009,6.057366526
7/24/2009,6.08000787
7/25/2009,6.093476963
7/26/2009,6.081478385
7/27/2009,6.067190851
7/28/2009,6.06291073
7/29/2009,6.059049236
7/30/2009,6.0838163
7/31/2009,6.084917302
8/1/2009,6.079974478
8/2/2009,6.087566531
8/6/2009,6.041031344
8/7/2009,6.077759747
8/8/2009,6.081833527
8/9/2009,6.060421282
8/10/2009,6.063715859
8/11/2009,6.065410266
8/12/2009,6.065429422
8/13/2009,6.066620159
8/14/2009,6.0923688
8/15/2009,6.10532356
8/16/2009,6.080808453
8/17/2009,6.068874959
8/18/2009,6.058985059
8/19/2009,6.06439236
8/20/2009,6.070945979
8/21/2009,6.082757471
8/22/2009,6.103487967
8/23/2009,6.093705667
8/24/2009,6.070191531
8/25/2009,6.070091825
8/26/2009,6.061102763
8/27/2009,6.07161029
8/28/2009,6.081235291
8/29/2009,6.08632163
8/30/2009,6.08435857
8/31/2009,6.072724917
9/1/2009,6.070681133
9/2/2009,6.066029219
9/3/2009,6.06357461
9/4/2009,6.1006711
9/5/2009,6.101590542
9/6/2009,6.093842552
9/7/2009,6.088656519
9/8/2009,6.070799372
9/9/2009,6.071184623
9/10/2009,6.067795025
9/11/2009,6.074166362
9/12/2009,6.080816677
9/13/2009,6.041395721
9/14/2009,6.016739865
9/15/2009,6.041939049
9/16/2009,6.073385891
9/17/2009,6.059447587
9/18/2009,6.098182855
9/19/2009,6.090488377
9/20/2009,6.073805576
9/21/2009,6.064209709
9/22/2009,6.058006846
9/23/2009,6.062555837
9/24/2009,6.063546197
9/25/2009,6.093588301
9/26/2009,6.080953557
9/27/2009,6.066887854
9/28/2009,6.054810676
9/29/2009,6.043571653
9/30/2009,6.050141034
10/1/2009,6.063681645
10/2/2009,6.092536421
10/3/2009,6.085270545
10/4/2009,6.070584427
10/5/2009,6.053070756
10/6/2009,6.056008759
10/7/2009,6.034701486
10/8/2009,6.05520234
10/9/2009,6.110350887
10/10/2009,6.087083941
10/11/2009,6.070419576
10/12/2009,6.060683707
10/13/2009,6.055227519
10/14/2009,6.052328886
10/15/2009,6.052903806
10/16/2009,6.077595523
10/17/2009,6.073429618
10/18/2009,6.050178569
10/19/2009,6.0514749
10/20/2009,6.04588345
10/21/2009,6.047779894
10/22/2009,6.043547298
10/23/2009,6.081379637
10/24/2009,6.068231459
10/25/2009,6.056646891
10/26/2009,6.055964425
10/27/2009,6.045948658
10/28/2009,6.046923167
10/29/2009,6.047167905
10/30/2009,6.082125497
10/31/2009,6.102824885
11/1/2009,6.062787034
11/2/2009,6.058199724
11/3/2009,6.044378524
11/4/2009,6.054784524
11/5/2009,6.051613017
11/6/2009,6.07195118
11/7/2009,6.068244064
11/8/2009,6.062608886
11/9/2009,6.057027127
11/10/2009,6.05620409
11/11/2009,6.076438673
11/12/2009,6.111500056
11/13/2009,6.096818056
11/14/2009,6.083841148
11/15/2009,6.064200877
11/16/2009,6.067697409
11/17/2009,6.066707636
11/18/2009,6.066978793
11/19/2009,6.054336056
11/20/2009,6.092865234
11/21/2009,6.085354861
11/22/2009,6.078563206
11/23/2009,6.074887315
11/24/2009,6.075986433
11/25/2009,6.123440746
11/26/2009,6.241892576
11/27/2009,6.119662596
11/28/2009,6.093955999
